Country,Year,CPI,Exports,FDI_net,GDP,Per_Capita,Inflation,Political_Stability,Deal Making(USD)
China,2013,111.1580018,2354264539545,-217957551784,9570471111848,7020.386074,2.621050017,26.54028511,66230000000
China,2014,113.2940602,2462825804916,-144967626759,10475624944290,7636.07434,1.921641628,28.5714283,71340000000
China,2015,114.9221228,2362097053242,-68098649765,11061572618595,8016.445595,1.437023809,26.19047546,66530000000
China,2016,117.2205674,2199974853555,41674876170,11233313730289,8094.390167,2.000001822,26.66666603,71120000000
China,2017,119.0880504,2424216052069,-27790987920,12310491333981,8817.045608,1.593136001,38.57143021,80320000000
China,2018,121.5588779,2655609176118,-92338473352,13894907857926,9905.406383,2.0747904,36.320755,85900000000
China,2019,125.0831544,2628941104614,-50259822365,14279968506243,10143.86022,2.899234164,38.20754623,90630000000
China,2020,128.1094436,2729884575149,-99374807720,14687744162801,10408.71955,2.419421895,27.83018875,70540000000
China,2021,129.3662166,3554107781004,-165277237080,17820459508852,12617.5051,0.9810151355,28.30188751,95720000000
China,2022,131.9193567,3714245280577,-30474555668,17963171479205,12720.21632,1.973575557,28.30188751,100530000000
United Kingdom,2008,95.69077122,805762867647,103242148986,2929411764706,47396.12021,3.521408563,61.05769348,10580000000
United Kingdom,2009,97.56796745,648608817573,-62945021961,2412840006232,38744.13169,1.961731736,48.3412323,8342000000
United Kingdom,2010,100,717229317011,-12327098017,2485482596185,39598.95712,2.492654725,60.1895752,12234000000
United Kingdom,2011,103.8561124,836104561851,53821554015,2663805834828,42109.64188,3.856112447,58.76777267,15350000000
United Kingdom,2012,106.5285741,828872120452,-34727249184,2707089726615,42497.3405,2.573234797,59.71564102,18230000000
United Kingdom,2013,108.9698539,843516106641,-8222267228,2784853502534,43426.29814,2.291666667,63.03317642,20340000000
United Kingdom,2014,110.5511374,875777609747,-172805792106,3064708247921,47439.61659,1.451120163,59.52381134,22200000000
United Kingdom,2015,110.9580174,815304691847,-105510499553,2927911140917,44964.39114,0.3680468423,61.42856979,23750000000
United Kingdom,2016,112.0769373,777214710110,-291904952185,2689106566900,40985.23514,1.008417368,58.09523773,19460000000
United Kingdom,2017,113.4268376,822408991851,-153677531405,2811491487854,42694.51557,2.48965512,59.52381134,21450000000
United Kingdom,2018,115.4264941,827204853789,-83402914484,2855298835469,43210.85727,2.022965178,61.53846049,23400000000
United Kingdom,2019,118.8350387,826754391364,3661780782,2859810254413,43270.27288,1.794839003,57.77777863,25730000000
United Kingdom,2020,121.4766293,729974285121,-67104155135,2727016100786,41193.15136,0.9943563784,61.95454407,20360000000
United Kingdom,2021,127.0131964,1017087083701,-90021720177,3283163347874,49584.60428,2.480422047,58.18182017,27230000000
United Kingdom,2022,133.2979479,1124943776072,-52563193910,3358136885661,50411.64063,6.54868229,57.72727203,29340000000
United States,2008,97.82349714,1536707686725,311908313474,14712844074318,48361.5076,3.839485599,71.15383911,35250000000
United States,2009,97.48836577,1178897144046,153939938151,14448933041422,46458.16733,-0.3551543284,77.77777863,30260000000
United States,2010,100,1282053571429,215591168551,14985892309454,48065.37782,1.622654501,73.84615326,41560000000
United States,2011,103.1577582,1525503343018,222372968815,15542582021091,49618.84539,3.157758198,79.61538696,48220000000
United States,2012,105.4688283,1604358592679,204247071425,16197007398241,51328.8741,2.656191399,77.69230652,50310000000
United States,2013,107.882961,1646875161991,162583955553,16784849132055,52904.62082,1.528935185,75.38461304,55600000000
United States,2014,109.9188237,1721548083405,91740316432,17521746540880,55078.16803,1.467484663,75.38461304,61340000000
United States,2015,110.7232497,1514072354219,164799097711,18219297584467,57152.36667,0.1189516121,77.435898,58530000000
United States,2016,112.6886224,1509605920665,50194801633,18707189047078,57696.44614,1.262774351,79.2307663,64750000000
United States,2017,115.2160584,1577361526446,27675554083,19484665128072,59939.13405,2.130841121,82.77777863,71360000000
United States,2018,117.7064185,1640393105024,30471703627,20611860860217,63029.76723,2.127680818,82.435898,76700000000
United States,2019,121.1504314,1695493295612,22107902519,21433224657652,65297.51703,1.812593072,81.79486847,82620000000
United States,2020,122.2637053,1419239845104,17834721416,20972078388857,63113.49681,1.24326869,85.94339752,75230000000
United States,2021,128.2353537,1851220615032,31269612649,23970615748789,71792.15525,4.683803924,81.22641754,85540000000
United States,2022,134.8896366,1946177956979,24290519591,25558373250882,75364.5099,6.297998486,78.11320496,92610000000
